,Date,NO_2
0,2017-01-01,49.26086956521739
1,2017-01-02,61.0
2,2017-01-03,69.625
3,2017-01-04,65.04166666666667
4,2017-01-05,59.541666666666664
5,2017-01-06,58.791666666666664
6,2017-01-07,74.0
7,2017-01-08,75.08333333333333
8,2017-01-09,70.70833333333333
9,2017-01-10,79.5
10,2017-01-11,71.04166666666667
11,2017-01-12,51.666666666666664
12,2017-01-13,43.458333333333336
13,2017-01-14,62.666666666666664
14,2017-01-15,55.041666666666664
15,2017-01-16,73.20833333333333
16,2017-01-17,47.708333333333336
17,2017-01-18,34.541666666666664
18,2017-01-19,26.208333333333332
19,2017-01-20,23.5
20,2017-01-21,32.5
21,2017-01-22,51.125
22,2017-01-23,67.45833333333333
23,2017-01-24,85.20833333333333
24,2017-01-25,78.70833333333333
25,2017-01-26,76.83333333333333
26,2017-01-27,54.5
27,2017-01-28,28.75
28,2017-01-29,41.125
29,2017-01-30,37.833333333333336
30,2017-01-31,58.625
31,2017-02-01,93.875
32,2017-02-02,47.625
33,2017-02-03,28.916666666666668
34,2017-02-04,15.708333333333334
35,2017-02-05,13.583333333333334
36,2017-02-06,27.708333333333332
37,2017-02-07,44.083333333333336
38,2017-02-08,48.458333333333336
39,2017-02-09,79.75
40,2017-02-10,94.79166666666667
41,2017-02-11,54.583333333333336
42,2017-02-12,53.833333333333336
43,2017-02-13,26.416666666666668
44,2017-02-14,52.5
45,2017-02-15,60.0
46,2017-02-16,61.916666666666664
47,2017-02-17,66.45833333333333
48,2017-02-18,63.333333333333336
49,2017-02-19,36.958333333333336
50,2017-02-20,55.916666666666664
51,2017-02-21,61.041666666666664
52,2017-02-22,78.625
53,2017-02-23,74.08333333333333
54,2017-02-24,51.083333333333336
55,2017-02-25,49.0
56,2017-02-26,40.166666666666664
57,2017-02-27,20.541666666666668
58,2017-02-28,20.583333333333332
59,2017-03-01,38.166666666666664
60,2017-03-02,56.708333333333336
61,2017-03-03,43.375
62,2017-03-04,20.708333333333332
63,2017-03-05,22.583333333333332
64,2017-03-06,28.208333333333332
65,2017-03-07,44.916666666666664
66,2017-03-08,77.375
67,2017-03-09,80.66666666666667
68,2017-03-10,79.58333333333333
69,2017-03-11,54.458333333333336
70,2017-03-12,31.625
71,2017-03-13,17.458333333333332
72,2017-03-14,32.916666666666664
73,2017-03-15,40.125
74,2017-03-16,51.375
75,2017-03-17,64.79166666666667
76,2017-03-18,64.66666666666667
77,2017-03-19,57.458333333333336
78,2017-03-20,43.5
79,2017-03-21,27.458333333333332
80,2017-03-22,25.708333333333332
81,2017-03-23,33.375
82,2017-03-24,50.166666666666664
83,2017-03-25,48.375
84,2017-03-26,35.958333333333336
85,2017-03-27,30.291666666666668
86,2017-03-28,38.833333333333336
87,2017-03-29,58.791666666666664
88,2017-03-30,59.583333333333336
